country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","26-11-2025 13:00:00",22.08815,82.13737,NO2,14,31,24
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","26-11-2025 13:00:00",22.118125,83.140608,PM2.5,46,86,67
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","26-11-2025 13:00:00",22.118125,83.140608,CO,24,46,31
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","26-11-2025 13:00:00",22.368195,82.746431,SO2,7,11,9
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","26-11-2025 13:00:00",22.348441,82.549611,NO2,41,64,50
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","26-11-2025 13:00:00",22.348441,82.549611,SO2,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","26-11-2025 13:00:00",22.126650,83.483212,PM10,47,169,83
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","26-11-2025 13:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","26-11-2025 13:00:00",22.1910172,83.5197009,OZONE,3,135,61
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","26-11-2025 13:00:00",25.599486,85.113666,NO2,1,177,67
India,Bihar,Patna,"Samanpura, Patna - BSPCB","26-11-2025 13:00:00",25.596727,85.085624,PM2.5,26,365,263
India,Bihar,Patna,"Samanpura, Patna - BSPCB","26-11-2025 13:00:00",25.596727,85.085624,NO2,38,49,43
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","26-11-2025 13:00:00",25.366336,87.117468,PM2.5,53,200,115
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","26-11-2025 13:00:00",25.892357,86.590325,PM2.5,55,237,109
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","26-11-2025 13:00:00",25.892357,86.590325,NO2,6,7,7
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-11-2025 13:00:00",26.1403345,85.3650192,OZONE,16,55,27
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","26-11-2025 13:00:00",25.586562,85.043586,PM10,76,232,130
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","26-11-2025 13:00:00",25.586562,85.043586,NH3,6,16,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","26-11-2025 13:00:00",25.592539,85.227158,PM10,72,94,80
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","26-11-2025 13:00:00",30.735567,76.775714,NO2,27,138,69
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","26-11-2025 13:00:00",30.751462,76.762879,PM2.5,106,242,161
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","26-11-2025 13:00:00",30.751462,76.762879,OZONE,1,78,16
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","26-11-2025 13:00:00",30.719859,76.738637,CO,12,122,48
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","26-11-2025 13:00:00",25.592539,85.227158,SO2,7,12,10
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","26-11-2025 13:00:00",25.610369,85.132568,OZONE,28,30,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","26-11-2025 13:00:00",25.619651,85.147382,PM2.5,77,250,164
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","26-11-2025 13:00:00",24.952822,84.002396,CO,49,56,52
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","26-11-2025 13:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","26-11-2025 13:00:00",26.2271665,84.3570427,SO2,4,5,4
India,Bihar,Munger,"Town Hall, Munger - BSPCB","26-11-2025 13:00:00",25.376776,86.471523,SO2,12,18,15
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","26-11-2025 13:00:00",26.11442,85.39813,PM2.5,68,188,145
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","26-11-2025 13:00:00",28.5512005,77.2735737,PM10,174,417,282
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","26-11-2025 13:00:00",28.656756,77.227234,NH3,11,15,13
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","26-11-2025 13:00:00",28.656756,77.227234,SO2,14,32,20
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","26-11-2025 13:00:00",28.656756,77.227234,CO,106,114,108
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","26-11-2025 13:00:00",28.656756,77.227234,OZONE,5,87,30
